Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,0.98,0.91,0.92,0.91,0.95,0.95,0.98
Random Forest,1.00,0.97,1.00,0.94,0.97,0.97,0.99
Decision Tree,0.94,0.92,0.95,0.90,0.94,0.94,0.98
XGBoost,1.00,0.99,0.98,1.00,1.00,1.00,1.00
AdaBoost,0.95,0.70,0.71,0.69,0.81,0.82,0.92
Gradient Boosting,1.00,0.99,0.99,1.00,1.00,1.00,1.00
Extra Trees,1.00,0.93,0.97,0.90,0.95,0.95,0.98
Neural Network (MLP),0.97,0.83,0.84,0.82,0.89,0.90,0.95
Logistic Regression,0.82,0.44,0.51,0.39,0.61,0.66,0.86
