Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,0.86,0.59,0.48,0.77,0.85,0.86,0.94
Random Forest,0.94,0.75,0.82,0.69,0.83,0.84,0.97
Decision Tree,0.80,0.44,0.32,0.69,0.79,0.80,0.89
XGBoost,0.93,0.64,0.60,0.69,0.82,0.83,0.95
AdaBoost,0.90,0.64,0.60,0.69,0.82,0.83,0.95
Gradient Boosting,0.95,0.64,0.60,0.69,0.82,0.83,0.95
Extra Trees,0.93,0.78,0.90,0.69,0.83,0.84,0.98
Neural Network (MLP),0.88,0.62,0.53,0.77,0.86,0.86,0.95
Logistic Regression,0.87,0.58,0.50,0.69,0.81,0.82,0.94
