Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,0.98,0.46,0.33,0.75,0.84,0.85,0.94
Random Forest,0.99,0.60,0.50,0.75,0.85,0.86,0.96
Decision Tree,0.96,0.43,0.30,0.75,0.84,0.84,0.93
XGBoost,0.99,0.50,0.33,1.00,0.96,0.96,0.93
AdaBoost,0.98,0.57,0.40,1.00,0.97,0.97,0.95
Gradient Boosting,1.00,0.53,0.36,1.00,0.97,0.97,0.94
Extra Trees,1.00,0.73,0.57,1.00,0.99,0.99,0.97
Neural Network (MLP),1.00,0.57,0.40,1.00,0.97,0.97,0.95
Logistic Regression,0.95,0.32,0.20,0.75,0.82,0.82,0.89
