Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,0.93,0.50,0.38,0.71,0.81,0.82,0.91
Random Forest,0.95,0.60,0.46,0.86,0.90,0.90,0.93
Decision Tree,0.93,0.52,0.38,0.86,0.88,0.88,0.90
XGBoost,0.94,0.57,0.43,0.86,0.89,0.89,0.92
AdaBoost,0.90,0.40,0.28,0.71,0.79,0.80,0.87
Gradient Boosting,0.93,0.50,0.35,0.86,0.88,0.88,0.89
Extra Trees,0.97,0.67,0.55,0.86,0.90,0.91,0.95
Neural Network (MLP),0.96,0.55,0.40,0.86,0.89,0.89,0.91
Logistic Regression,0.96,0.45,0.33,0.71,0.80,0.81,0.89
