Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,0.65,0.40,0.41,0.40,0.57,0.61,0.72
Random Forest,0.73,0.41,0.44,0.38,0.57,0.62,0.74
Decision Tree,0.64,0.42,0.48,0.38,0.57,0.62,0.76
XGBoost,0.69,0.42,0.46,0.40,0.58,0.63,0.75
AdaBoost,0.72,0.29,0.39,0.23,0.45,0.56,0.73
Gradient Boosting,0.73,0.46,0.50,0.43,0.61,0.65,0.76
Extra Trees,0.74,0.41,0.45,0.38,0.57,0.62,0.75
Neural Network (MLP),0.72,0.43,0.28,0.96,0.47,0.59,0.40
Logistic Regression,0.73,0.13,0.57,0.08,0.27,0.53,0.77
