Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,0.91,0.78,0.90,0.69,0.83,0.84,0.98
Random Forest,0.96,0.64,0.67,0.62,0.78,0.80,0.96
Decision Tree,0.86,0.61,0.50,0.77,0.86,0.86,0.94
XGBoost,0.96,0.64,0.67,0.62,0.78,0.80,0.96
AdaBoost,0.92,0.48,0.62,0.38,0.62,0.69,0.95
Gradient Boosting,0.98,0.59,0.57,0.62,0.77,0.79,0.95
Extra Trees,0.95,0.70,0.80,0.62,0.78,0.80,0.97
Neural Network (MLP),0.91,0.52,0.60,0.46,0.67,0.72,0.95
Logistic Regression,0.75,0.43,0.50,0.38,0.61,0.68,0.94
