Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,0.99,0.91,0.95,0.87,0.93,0.93,0.96
Random Forest,0.99,0.85,0.83,0.87,0.91,0.91,0.93
Decision Tree,0.96,0.84,0.86,0.83,0.89,0.89,0.93
XGBoost,0.99,0.91,0.91,0.91,0.94,0.94,0.96
AdaBoost,0.97,0.82,0.77,0.87,0.90,0.90,0.91
Gradient Boosting,0.99,0.89,0.91,0.87,0.92,0.92,0.95
Extra Trees,0.99,0.94,0.92,0.96,0.97,0.97,0.97
Neural Network (MLP),0.97,0.85,0.83,0.87,0.91,0.91,0.93
Logistic Regression,0.95,0.77,0.75,0.78,0.85,0.85,0.89
