Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,0.91,0.64,0.67,0.62,0.78,0.80,0.96
Random Forest,0.96,0.73,0.89,0.62,0.78,0.81,0.97
Decision Tree,0.87,0.69,0.62,0.77,0.86,0.87,0.96
XGBoost,0.95,0.73,0.89,0.62,0.78,0.81,0.97
AdaBoost,0.97,0.64,0.78,0.54,0.73,0.76,0.96
Gradient Boosting,0.97,0.67,0.73,0.62,0.78,0.80,0.96
Extra Trees,0.94,0.67,0.73,0.62,0.78,0.80,0.96
Neural Network (MLP),0.90,0.50,0.71,0.38,0.62,0.69,0.95
Logistic Regression,0.92,0.67,0.64,0.69,0.82,0.83,0.96
