Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,0.97,0.70,0.53,1.00,0.97,0.97,0.95
Random Forest,1.00,0.94,0.89,1.00,1.00,1.00,0.99
Decision Tree,1.00,0.94,0.89,1.00,1.00,1.00,0.99
XGBoost,1.00,0.94,0.89,1.00,1.00,1.00,0.99
AdaBoost,1.00,0.94,0.89,1.00,1.00,1.00,0.99
Gradient Boosting,1.00,0.89,0.80,1.00,0.99,0.99,0.99
Extra Trees,1.00,0.89,0.80,1.00,0.99,0.99,0.99
Neural Network (MLP),0.96,0.64,0.47,1.00,0.97,0.97,0.94
Logistic Regression,0.85,0.44,0.40,0.50,0.69,0.73,0.93
