Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,0.92,0.38,0.29,0.57,0.72,0.74,0.89
Random Forest,0.94,0.42,0.33,0.57,0.73,0.75,0.90
Decision Tree,0.80,0.48,0.36,0.71,0.81,0.82,0.90
XGBoost,0.89,0.50,0.38,0.71,0.81,0.82,0.91
AdaBoost,0.80,0.38,0.29,0.57,0.72,0.74,0.89
Gradient Boosting,0.92,0.63,0.50,0.86,0.90,0.90,0.94
Extra Trees,0.95,0.50,0.38,0.71,0.81,0.82,0.91
Neural Network (MLP),0.91,0.59,0.50,0.71,0.83,0.83,0.94
Logistic Regression,0.92,0.43,0.31,0.71,0.80,0.81,0.89
