Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,0.97,0.87,0.83,0.92,0.94,0.94,0.96
Random Forest,1.00,0.93,0.93,0.93,0.96,0.96,0.98
Decision Tree,0.92,0.82,0.77,0.89,0.92,0.92,0.95
XGBoost,1.00,0.94,0.93,0.95,0.97,0.97,0.98
AdaBoost,0.93,0.62,0.63,0.61,0.76,0.78,0.90
Gradient Boosting,1.00,0.97,0.96,0.98,0.98,0.98,0.99
Extra Trees,1.00,0.92,0.94,0.90,0.94,0.94,0.98
Neural Network (MLP),0.95,0.72,0.65,0.82,0.87,0.87,0.91
Logistic Regression,0.79,0.35,0.35,0.36,0.56,0.62,0.82
