Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,0.66,0.29,0.20,0.50,0.65,0.67,0.81
Random Forest,0.95,0.67,1.00,0.50,0.71,0.75,0.96
Decision Tree,0.86,0.75,0.75,0.75,0.86,0.86,0.96
XGBoost,0.93,0.86,1.00,0.75,0.87,0.88,0.98
AdaBoost,0.85,0.75,0.75,0.75,0.86,0.86,0.96
Gradient Boosting,0.99,0.86,1.00,0.75,0.87,0.88,0.98
Extra Trees,0.97,0.86,1.00,0.75,0.87,0.88,0.98
Neural Network (MLP),0.58,0.00,0.00,0.00,0.00,0.44,0.81
Logistic Regression,0.97,0.67,0.50,1.00,0.96,0.96,0.92
