Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,0.94,0.84,0.96,0.75,0.87,0.87,0.96
Random Forest,0.99,0.91,0.90,0.92,0.95,0.95,0.97
Decision Tree,0.91,0.81,0.78,0.85,0.90,0.91,0.95
XGBoost,1.00,0.93,0.91,0.95,0.97,0.97,0.98
AdaBoost,0.91,0.57,0.56,0.58,0.73,0.75,0.88
Gradient Boosting,1.00,0.94,0.92,0.96,0.98,0.98,0.98
Extra Trees,0.99,0.85,0.82,0.88,0.93,0.93,0.96
Neural Network (MLP),0.96,0.85,0.82,0.87,0.92,0.92,0.96
Logistic Regression,0.86,0.44,0.43,0.46,0.64,0.68,0.84
