Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,0.80,0.57,0.63,0.53,0.68,0.70,0.77
Random Forest,0.86,0.64,0.73,0.57,0.72,0.74,0.82
Decision Tree,0.70,0.57,0.58,0.56,0.68,0.70,0.76
XGBoost,0.84,0.67,0.73,0.62,0.75,0.76,0.82
AdaBoost,0.79,0.53,0.66,0.44,0.63,0.67,0.77
Gradient Boosting,0.84,0.66,0.72,0.61,0.74,0.76,0.82
Extra Trees,0.86,0.67,0.79,0.58,0.74,0.76,0.83
Neural Network (MLP),0.81,0.50,0.70,0.40,0.61,0.66,0.78
Logistic Regression,0.73,0.40,0.58,0.30,0.52,0.61,0.73
