Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,0.99,0.89,0.82,0.98,0.97,0.97,0.97
Random Forest,1.00,0.92,0.96,0.88,0.94,0.94,0.98
Decision Tree,0.92,0.83,0.78,0.88,0.92,0.92,0.95
XGBoost,1.00,0.93,0.94,0.93,0.96,0.96,0.98
AdaBoost,0.91,0.55,0.52,0.59,0.74,0.75,0.87
Gradient Boosting,1.00,0.91,0.90,0.92,0.95,0.95,0.98
Extra Trees,0.99,0.89,0.95,0.84,0.91,0.92,0.97
Neural Network (MLP),0.97,0.77,0.74,0.81,0.88,0.88,0.94
Logistic Regression,0.78,0.39,0.38,0.40,0.60,0.65,0.84
