Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,0.84,0.59,0.67,0.53,0.67,0.69,0.74
Random Forest,0.87,0.71,0.76,0.66,0.77,0.77,0.81
Decision Tree,0.73,0.65,0.68,0.62,0.73,0.73,0.77
XGBoost,0.86,0.68,0.74,0.64,0.75,0.76,0.80
AdaBoost,0.84,0.58,0.69,0.50,0.66,0.69,0.75
Gradient Boosting,0.86,0.64,0.70,0.59,0.71,0.73,0.77
Extra Trees,0.86,0.64,0.70,0.60,0.72,0.73,0.77
Neural Network (MLP),0.78,0.62,0.60,0.65,0.71,0.71,0.73
Logistic Regression,0.85,0.58,0.65,0.53,0.67,0.69,0.74
