Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,0.87,0.63,0.72,0.57,0.72,0.74,0.81
Random Forest,0.88,0.66,0.77,0.58,0.74,0.76,0.83
Decision Tree,0.74,0.60,0.63,0.58,0.71,0.72,0.78
XGBoost,0.84,0.60,0.63,0.57,0.70,0.72,0.78
AdaBoost,0.78,0.51,0.64,0.42,0.62,0.66,0.76
Gradient Boosting,0.86,0.66,0.71,0.61,0.74,0.76,0.82
Extra Trees,0.88,0.62,0.78,0.52,0.70,0.73,0.82
Neural Network (MLP),0.79,0.55,0.67,0.47,0.65,0.69,0.78
Logistic Regression,0.72,0.38,0.56,0.29,0.51,0.60,0.73
