Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,0.98,0.50,0.38,0.75,0.85,0.85,0.95
Random Forest,0.97,0.67,0.60,0.75,0.86,0.87,0.97
Decision Tree,0.73,0.44,0.40,0.50,0.70,0.74,0.96
XGBoost,0.98,0.60,0.50,0.75,0.85,0.86,0.96
AdaBoost,0.97,0.57,0.67,0.50,0.70,0.75,0.97
Gradient Boosting,0.94,0.67,0.60,0.75,0.86,0.87,0.97
Extra Trees,0.99,0.67,0.60,0.75,0.86,0.87,0.97
Neural Network (MLP),0.97,0.60,0.50,0.75,0.85,0.86,0.96
Logistic Regression,0.96,0.40,0.27,0.75,0.83,0.84,0.92
