Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Random Forest,1.00,0.93,0.87,1.00,0.99,0.99,0.99
Decision Tree,0.99,0.85,0.76,0.96,0.97,0.97,0.97
XGBoost,1.00,0.96,0.93,1.00,1.00,1.00,0.99
AdaBoost,1.00,0.92,0.84,1.00,0.99,0.99,0.98
Gradient Boosting,1.00,0.93,0.87,1.00,0.99,0.99,0.99
Extra Trees,1.00,0.98,0.96,1.00,1.00,1.00,1.00
Neural Network (MLP),1.00,1.00,1.00,1.00,1.00,1.00,1.00
Logistic Regression,0.99,0.76,0.67,0.89,0.92,0.92,0.95
