Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,0.96,0.80,0.73,0.89,0.91,0.91,0.93
Random Forest,1.00,0.97,0.95,1.00,0.99,0.99,0.99
Decision Tree,0.98,0.82,0.69,1.00,0.96,0.96,0.93
XGBoost,1.00,0.88,0.78,1.00,0.97,0.97,0.96
AdaBoost,1.00,0.90,0.82,1.00,0.98,0.98,0.96
Gradient Boosting,0.99,0.82,0.69,1.00,0.96,0.96,0.93
Extra Trees,1.00,0.95,0.90,1.00,0.99,0.99,0.98
Neural Network (MLP),1.00,0.92,0.86,1.00,0.98,0.98,0.97
Logistic Regression,1.00,0.97,0.95,1.00,0.99,0.99,0.99
