Model,AUC,F1-score,Precision,Recall,G-mean,Balanced-Accuracy,Accuracy
KNN,0.89,0.37,0.25,0.71,0.78,0.79,0.85
Random Forest,0.94,0.52,0.38,0.86,0.88,0.88,0.90
Decision Tree,0.78,0.34,0.23,0.71,0.78,0.78,0.83
XGBoost,0.94,0.48,0.36,0.71,0.81,0.82,0.90
AdaBoost,0.73,0.32,0.22,0.57,0.70,0.72,0.85
Gradient Boosting,0.94,0.40,0.28,0.71,0.79,0.80,0.87
Extra Trees,0.94,0.50,0.35,0.86,0.88,0.88,0.89
Neural Network (MLP),0.93,0.60,0.46,0.86,0.90,0.90,0.93
Logistic Regression,0.88,0.40,0.31,0.57,0.72,0.74,0.89
